Index,Date,Time,DateTime,Readings_RH,Readings_F,Type
100,9/25/18,7:41:03 AM,09/25/1807:41:03,51.8,70.1,
101,9/25/18,7:51:03 AM,09/25/1807:51:03,51.8,70.1,
102,9/25/18,8:01:03 AM,09/25/1808:01:03,51.9,70.1,
103,9/25/18,8:11:03 AM,09/25/1808:11:03,52,70.1,
104,9/25/18,8:21:03 AM,09/25/1808:21:03,52,70.1,
105,9/25/18,8:31:03 AM,09/25/1808:31:03,52.1,70.1,
106,9/25/18,8:41:03 AM,09/25/1808:41:03,52.2,70,
107,9/25/18,8:51:03 AM,09/25/1808:51:03,52.3,70,
108,9/25/18,9:01:03 AM,09/25/1809:01:03,52.3,69.9,
109,9/25/18,9:11:03 AM,09/25/1809:11:03,52.4,69.9,
110,9/25/18,9:21:03 AM,09/25/1809:21:03,52.5,69.9,
111,9/25/18,9:31:03 AM,09/25/1809:31:03,52.7,69.9,
112,9/25/18,9:41:03 AM,09/25/1809:41:03,52.7,69.9,
113,9/25/18,9:51:03 AM,09/25/1809:51:03,52.8,69.9,
114,9/25/18,10:01:03 AM,09/25/1810:01:03,52.9,70,
115,9/25/18,10:11:03 AM,09/25/1810:11:03,52.9,70,
116,9/25/18,10:21:03 AM,09/25/1810:21:03,53,70.1,
117,9/25/18,10:31:03 AM,09/25/1810:31:03,53.2,70.1,
118,9/25/18,10:41:03 AM,09/25/1810:41:03,53.3,70,
119,9/25/18,10:51:03 AM,09/25/1810:51:03,53.4,70,
120,9/25/18,11:01:03 AM,09/25/1811:01:03,53.7,69.9,
121,9/25/18,11:11:03 AM,09/25/1811:11:03,54,69.9,
122,9/25/18,11:21:03 AM,09/25/1811:21:03,54.2,69.9,
123,9/25/18,11:31:03 AM,09/25/1811:31:03,54.4,69.9,
124,9/25/18,11:41:03 AM,09/25/1811:41:03,54.5,69.9,
125,9/25/18,11:51:03 AM,09/25/1811:51:03,54.8,69.8,
126,9/25/18,12:01:03 PM,09/25/1812:01:03,54.9,69.8,
127,9/25/18,12:11:03 PM,09/25/1812:11:03,55.3,69.8,
128,9/25/18,12:21:03 PM,09/25/1812:21:03,55.3,69.8,
129,9/25/18,12:31:03 PM,09/25/1812:31:03,55.4,69.8,
130,9/25/18,12:41:03 PM,09/25/1812:41:03,55.9,69.9,
131,9/25/18,12:51:03 PM,09/25/1812:51:03,55.9,69.8,
132,9/25/18,1:01:03 PM,09/25/1813:01:03,56.1,69.9,
133,9/25/18,1:11:03 PM,09/25/1813:11:03,56.6,70.1,
134,9/25/18,1:21:03 PM,09/25/1813:21:03,56.3,70.3,
135,9/25/18,1:31:03 PM,09/25/1813:31:03,56.6,70.5,
136,9/25/18,1:41:03 PM,09/25/1813:41:03,56.2,70.9,
137,9/25/18,1:51:03 PM,09/25/1813:51:03,56.1,71.2,
138,9/25/18,2:01:03 PM,09/25/1814:01:03,55.9,71.4,
139,9/25/18,2:11:03 PM,09/25/1814:11:03,55.5,71.5,
140,9/25/18,2:21:03 PM,09/25/1814:21:03,55.3,71.7,
141,9/25/18,2:31:03 PM,09/25/1814:31:03,55.4,71.7,
142,9/25/18,2:41:03 PM,09/25/1814:41:03,55.4,71.9,
143,9/25/18,2:51:03 PM,09/25/1814:51:03,54.9,72,
144,9/25/18,3:01:03 PM,09/25/1815:01:03,55.9,71.5,
145,9/25/18,3:11:03 PM,09/25/1815:11:03,56.2,71.4,
146,9/25/18,3:21:03 PM,09/25/1815:21:03,56.3,71.3,
147,9/25/18,3:31:03 PM,09/25/1815:31:03,56.3,71.2,
148,9/25/18,3:41:03 PM,09/25/1815:41:03,56.3,71.1,
149,9/25/18,3:51:03 PM,09/25/1815:51:03,56.5,71.1,
150,9/25/18,4:01:03 PM,09/25/1816:01:03,56.5,71,
151,9/25/18,4:11:03 PM,09/25/1816:11:03,56.6,71.1,
152,9/25/18,4:21:03 PM,09/25/1816:21:03,56.6,71.1,
153,9/25/18,4:31:03 PM,09/25/1816:31:03,56.5,71.2,
154,9/25/18,4:41:03 PM,09/25/1816:41:03,56.5,71.3,
155,9/25/18,4:51:03 PM,09/25/1816:51:03,56.8,71.2,
156,9/25/18,5:01:03 PM,09/25/1817:01:03,56.6,71.2,
157,9/25/18,5:11:03 PM,09/25/1817:11:03,56.7,71.1,
158,9/25/18,5:21:03 PM,09/25/1817:21:03,56.8,71,
159,9/25/18,5:31:03 PM,09/25/1817:31:03,56.8,70.9,
160,9/25/18,5:41:03 PM,09/25/1817:41:03,56.9,70.9,
161,9/25/18,5:51:03 PM,09/25/1817:51:03,57,70.8,
162,9/25/18,6:01:03 PM,09/25/1818:01:03,56.8,70.7,
163,9/25/18,6:11:03 PM,09/25/1818:11:03,57,70.6,
164,9/25/18,6:21:03 PM,09/25/1818:21:03,57,70.6,
165,9/25/18,6:31:03 PM,09/25/1818:31:03,57.2,70.5,
166,9/25/18,6:41:03 PM,09/25/1818:41:03,57.2,70.5,
167,9/25/18,6:51:03 PM,09/25/1818:51:03,57.4,70.4,
168,9/25/18,7:01:03 PM,09/25/1819:01:03,57.5,70.4,
169,9/25/18,7:11:03 PM,09/25/1819:11:03,57.4,70.4,
170,9/25/18,7:21:03 PM,09/25/1819:21:03,57.6,70.3,
171,9/25/18,7:31:03 PM,09/25/1819:31:03,57.5,70.3,
172,9/25/18,7:41:03 PM,09/25/1819:41:03,57.6,70.3,
173,9/25/18,7:51:03 PM,09/25/1819:51:03,57.7,70.3,
174,9/25/18,8:01:03 PM,09/25/1820:01:03,57.7,70.2,
175,9/25/18,8:11:03 PM,09/25/1820:11:03,57.6,70.2,
176,9/25/18,8:21:03 PM,09/25/1820:21:03,57.6,70.1,
177,9/25/18,8:31:03 PM,09/25/1820:31:03,57.7,70.1,
178,9/25/18,8:41:03 PM,09/25/1820:41:03,57.7,70.1,
179,9/25/18,8:51:03 PM,09/25/1820:51:03,57.9,70,
180,9/25/18,9:01:03 PM,09/25/1821:01:03,58,70,
181,9/25/18,9:11:03 PM,09/25/1821:11:03,58,70,
182,9/25/18,9:21:03 PM,09/25/1821:21:03,58.1,69.9,
183,9/25/18,9:31:03 PM,09/25/1821:31:03,58.2,69.9,
184,9/25/18,9:41:03 PM,09/25/1821:41:03,58.1,69.9,
185,9/25/18,9:51:03 PM,09/25/1821:51:03,58.1,69.9,
186,9/25/18,10:01:03 PM,09/25/1822:01:03,58.2,69.9,
187,9/25/18,10:11:03 PM,09/25/1822:11:03,58.2,69.9,
188,9/25/18,10:21:03 PM,09/25/1822:21:03,58.4,69.8,
189,9/25/18,10:31:03 PM,09/25/1822:31:03,58.3,69.8,
190,9/25/18,10:41:03 PM,09/25/1822:41:03,58.4,69.8,
191,9/25/18,10:51:03 PM,09/25/1822:51:03,58.3,69.8,
192,9/25/18,11:01:03 PM,09/25/1823:01:03,58.3,69.8,
193,9/25/18,11:11:03 PM,09/25/1823:11:03,58.4,69.8,
194,9/25/18,11:21:03 PM,09/25/1823:21:03,58.4,69.7,
195,9/25/18,11:31:03 PM,09/25/1823:31:03,58.5,69.7,
196,9/25/18,11:41:03 PM,09/25/1823:41:03,58.6,69.7,
197,9/25/18,11:51:03 PM,09/25/1823:51:03,58.6,69.7,
198,9/26/18,12:01:03 AM,09/26/1800:01:03,58.6,69.7,
199,9/26/18,12:11:03 AM,09/26/1800:11:03,58.7,69.7,
200,9/26/18,12:21:03 AM,09/26/1800:21:03,58.8,69.7,
201,9/26/18,12:31:03 AM,09/26/1800:31:03,58.6,69.7,
202,9/26/18,12:41:03 AM,09/26/1800:41:03,58.5,69.7,
203,9/26/18,12:51:03 AM,09/26/1800:51:03,58.6,69.7,
204,9/26/18,1:01:03 AM,09/26/1801:01:03,58.8,69.6,
205,9/26/18,1:11:03 AM,09/26/1801:11:03,58.7,69.6,
206,9/26/18,1:21:03 AM,09/26/1801:21:03,58.8,69.6,
207,9/26/18,1:31:03 AM,09/26/1801:31:03,58.7,69.6,
208,9/26/18,1:41:03 AM,09/26/1801:41:03,58.8,69.6,
209,9/26/18,1:51:03 AM,09/26/1801:51:03,58.8,69.5,
210,9/26/18,2:01:03 AM,09/26/1802:01:03,58.9,69.5,
211,9/26/18,2:11:03 AM,09/26/1802:11:03,58.8,69.5,
212,9/26/18,2:21:03 AM,09/26/1802:21:03,58.9,69.5,
213,9/26/18,2:31:03 AM,09/26/1802:31:03,59.1,69.5,
214,9/26/18,2:41:03 AM,09/26/1802:41:03,59.1,69.5,
215,9/26/18,2:51:03 AM,09/26/1802:51:03,58.9,69.5,
216,9/26/18,3:01:03 AM,09/26/1803:01:03,58.9,69.5,
217,9/26/18,3:11:03 AM,09/26/1803:11:03,59,69.5,
218,9/26/18,3:21:03 AM,09/26/1803:21:03,58.9,69.5,
219,9/26/18,3:31:03 AM,09/26/1803:31:03,59.1,69.5,
220,9/26/18,3:41:03 AM,09/26/1803:41:03,59.3,69.5,
221,9/26/18,3:51:03 AM,09/26/1803:51:03,59.1,69.5,
222,9/26/18,4:01:03 AM,09/26/1804:01:03,58.9,69.4,
223,9/26/18,4:11:03 AM,09/26/1804:11:03,59,69.4,
224,9/26/18,4:21:03 AM,09/26/1804:21:03,59.3,69.4,
225,9/26/18,4:31:03 AM,09/26/1804:31:03,59.5,69.4,
226,9/26/18,4:41:03 AM,09/26/1804:41:03,59.4,69.4,
227,9/26/18,4:51:03 AM,09/26/1804:51:03,59.5,69.4,
228,9/26/18,5:01:03 AM,09/26/1805:01:03,59.4,69.4,
229,9/26/18,5:11:03 AM,09/26/1805:11:03,59.3,69.4,
230,9/26/18,5:21:03 AM,09/26/1805:21:03,59.3,69.4,
231,9/26/18,5:31:03 AM,09/26/1805:31:03,59.3,69.4,
232,9/26/18,5:41:03 AM,09/26/1805:41:03,59.2,69.4,
233,9/26/18,5:51:03 AM,09/26/1805:51:03,59.4,69.4,
234,9/26/18,6:01:03 AM,09/26/1806:01:03,59.4,69.4,
235,9/26/18,6:11:03 AM,09/26/1806:11:03,59.6,69.4,
236,9/26/18,6:21:03 AM,09/26/1806:21:03,59.7,69.4,
237,9/26/18,6:31:03 AM,09/26/1806:31:03,59.7,69.4,
238,9/26/18,6:41:03 AM,09/26/1806:41:03,59.6,69.4,
239,9/26/18,6:51:03 AM,09/26/1806:51:03,59.5,69.3,
240,9/26/18,7:01:03 AM,09/26/1807:01:03,59.7,69.3,
241,9/26/18,7:11:03 AM,09/26/1807:11:03,59.9,69.4,
242,9/26/18,7:21:03 AM,09/26/1807:21:03,59.8,69.4,
243,9/26/18,7:31:03 AM,09/26/1807:31:03,59.8,69.4,
244,9/26/18,7:41:03 AM,09/26/1807:41:03,59.8,69.4,
245,9/26/18,7:51:03 AM,09/26/1807:51:03,59.8,69.3,
246,9/26/18,8:01:03 AM,09/26/1808:01:03,59.8,69.4,
247,9/26/18,8:11:03 AM,09/26/1808:11:03,59.9,69.3,
248,9/26/18,8:21:03 AM,09/26/1808:21:03,59.9,69.3,
249,9/26/18,8:31:03 AM,09/26/1808:31:03,59.8,69.3,
250,9/26/18,8:41:03 AM,09/26/1808:41:03,59.8,69.3,
251,9/26/18,8:51:03 AM,09/26/1808:51:03,59.8,69.3,
252,9/26/18,9:01:03 AM,09/26/1809:01:03,60.2,69.4,
253,9/26/18,9:11:03 AM,09/26/1809:11:03,60,69.6,
254,9/26/18,9:21:03 AM,09/26/1809:21:03,60.5,69.6,
255,9/26/18,9:31:03 AM,09/26/1809:31:03,61,69.9,
256,9/26/18,9:41:03 AM,09/26/1809:41:03,60.3,70.2,
257,9/26/18,9:51:03 AM,09/26/1809:51:03,59.9,70.3,
258,9/26/18,10:01:03 AM,09/26/1810:01:03,60.1,70.4,
259,9/26/18,10:11:03 AM,09/26/1810:11:03,59.5,70.5,
260,9/26/18,10:21:03 AM,09/26/1810:21:03,59.4,70.4,
261,9/26/18,10:31:03 AM,09/26/1810:31:03,59.4,70.5,
262,9/26/18,10:41:03 AM,09/26/1810:41:03,59.9,70.5,
263,9/26/18,10:51:03 AM,09/26/1810:51:03,60.3,70.7,
264,9/26/18,11:01:03 AM,09/26/1811:01:03,60.3,70.8,
265,9/26/18,11:11:03 AM,09/26/1811:11:03,60,70.9,
266,9/26/18,11:21:03 AM,09/26/1811:21:03,59.6,71,
267,9/26/18,11:31:03 AM,09/26/1811:31:03,59.3,71,
268,9/26/18,11:41:03 AM,09/26/1811:41:03,59.1,70.9,
269,9/26/18,11:51:03 AM,09/26/1811:51:03,58.9,70.9,
270,9/26/18,12:01:03 PM,09/26/1812:01:03,58.9,70.9,
271,9/26/18,12:11:03 PM,09/26/1812:11:03,58.9,71,
272,9/26/18,12:21:03 PM,09/26/1812:21:03,58.9,70.9,
273,9/26/18,12:31:03 PM,09/26/1812:31:03,58.8,70.9,
274,9/26/18,12:41:03 PM,09/26/1812:41:03,59,70.8,
275,9/26/18,12:51:03 PM,09/26/1812:51:03,59,70.7,
276,9/26/18,1:01:03 PM,09/26/1813:01:03,58.9,70.7,
277,9/26/18,1:11:03 PM,09/26/1813:11:03,59,70.7,
278,9/26/18,1:21:03 PM,09/26/1813:21:03,58.9,70.7,
279,9/26/18,1:31:03 PM,09/26/1813:31:03,58.7,70.8,
280,9/26/18,1:41:03 PM,09/26/1813:41:03,58.4,70.9,
281,9/26/18,1:51:03 PM,09/26/1813:51:03,58.6,71,
282,9/26/18,2:01:03 PM,09/26/1814:01:03,58.5,70.9,
283,9/26/18,2:11:03 PM,09/26/1814:11:03,58.4,70.8,
284,9/26/18,2:21:03 PM,09/26/1814:21:03,58.5,70.7,
285,9/26/18,2:31:03 PM,09/26/1814:31:03,58.7,70.6,
286,9/26/18,2:41:03 PM,09/26/1814:41:03,58.7,70.5,
287,9/26/18,2:51:03 PM,09/26/1814:51:03,58.7,70.4,
288,9/26/18,3:01:03 PM,09/26/1815:01:03,58.6,70.3,
289,9/26/18,3:11:03 PM,09/26/1815:11:03,58.9,70.2,
290,9/26/18,3:21:03 PM,09/26/1815:21:03,58.8,70.2,
291,9/26/18,3:31:03 PM,09/26/1815:31:03,58.9,70.1,
292,9/26/18,3:41:03 PM,09/26/1815:41:03,59,70,
293,9/26/18,3:51:03 PM,09/26/1815:51:03,59.1,69.9,
294,9/26/18,4:01:03 PM,09/26/1816:01:03,59.1,69.9,
295,9/26/18,4:11:03 PM,09/26/1816:11:03,59.2,69.8,
296,9/26/18,4:21:03 PM,09/26/1816:21:03,59.3,69.8,
297,9/26/18,4:31:03 PM,09/26/1816:31:03,59.5,69.8,
298,9/26/18,4:41:03 PM,09/26/1816:41:03,59.6,69.7,
299,9/26/18,4:51:03 PM,09/26/1816:51:03,59.6,69.7,
300,9/26/18,5:01:03 PM,09/26/1817:01:03,59.5,69.7,
301,9/26/18,5:11:03 PM,09/26/1817:11:03,59.4,69.6,
302,9/26/18,5:21:03 PM,09/26/1817:21:03,59.5,69.5,
303,9/26/18,5:31:03 PM,09/26/1817:31:03,59.5,69.5,
304,9/26/18,5:41:03 PM,09/26/1817:41:03,59.4,69.4,
305,9/26/18,5:51:03 PM,09/26/1817:51:03,59.5,69.4,
306,9/26/18,6:01:03 PM,09/26/1818:01:03,59.6,69.4,
307,9/26/18,6:11:03 PM,09/26/1818:11:03,59.7,69.3,
308,9/26/18,6:21:03 PM,09/26/1818:21:03,59.8,69.3,
309,9/26/18,6:31:03 PM,09/26/1818:31:03,59.9,69.3,
310,9/26/18,6:41:03 PM,09/26/1818:41:03,60,69.3,
311,9/26/18,6:51:03 PM,09/26/1818:51:03,59.9,69.2,
312,9/26/18,7:01:03 PM,09/26/1819:01:03,59.8,69.2,
313,9/26/18,7:11:03 PM,09/26/1819:11:03,59.8,69.2,
314,9/26/18,7:21:03 PM,09/26/1819:21:03,59.9,69.2,
315,9/26/18,7:31:03 PM,09/26/1819:31:03,59.9,69.2,
316,9/26/18,7:41:03 PM,09/26/1819:41:03,59.8,69.1,
317,9/26/18,7:51:03 PM,09/26/1819:51:03,59.9,69.1,
318,9/26/18,8:01:03 PM,09/26/1820:01:03,59.9,69,
319,9/26/18,8:11:03 PM,09/26/1820:11:03,59.8,69,
320,9/26/18,8:21:03 PM,09/26/1820:21:03,59.9,69,
321,9/26/18,8:31:03 PM,09/26/1820:31:03,60.1,69,
322,9/26/18,8:41:03 PM,09/26/1820:41:03,60.2,69,
323,9/26/18,8:51:03 PM,09/26/1820:51:03,60.1,68.9,
324,9/26/18,9:01:03 PM,09/26/1821:01:03,60.5,68.9,
325,9/26/18,9:11:03 PM,09/26/1821:11:03,60,68.9,
326,9/26/18,9:21:03 PM,09/26/1821:21:03,60.1,68.9,
327,9/26/18,9:31:03 PM,09/26/1821:31:03,60,68.9,
328,9/26/18,9:41:03 PM,09/26/1821:41:03,60.1,68.8,
329,9/26/18,9:51:03 PM,09/26/1821:51:03,60,68.9,
330,9/26/18,10:01:03 PM,09/26/1822:01:03,59.8,68.8,
331,9/26/18,10:11:03 PM,09/26/1822:11:03,59.7,68.8,
332,9/26/18,10:21:03 PM,09/26/1822:21:03,59.3,68.8,
333,9/26/18,10:31:03 PM,09/26/1822:31:03,59.2,68.8,
334,9/26/18,10:41:03 PM,09/26/1822:41:03,59,68.7,
335,9/26/18,10:51:03 PM,09/26/1822:51:03,58.9,68.7,
336,9/26/18,11:01:03 PM,09/26/1823:01:03,58.7,68.6,
337,9/26/18,11:11:03 PM,09/26/1823:11:03,58.6,68.6,
338,9/26/18,11:21:03 PM,09/26/1823:21:03,58.4,68.6,
339,9/26/18,11:31:03 PM,09/26/1823:31:03,58.3,68.6,
340,9/26/18,11:41:03 PM,09/26/1823:41:03,58.1,68.6,
341,9/26/18,11:51:03 PM,09/26/1823:51:03,57.8,68.6,
342,9/27/18,12:01:03 AM,09/27/1800:01:03,57.9,68.6,
343,9/27/18,12:11:03 AM,09/27/1800:11:03,57.8,68.5,
344,9/27/18,12:21:03 AM,09/27/1800:21:03,57.7,68.5,
345,9/27/18,12:31:03 AM,09/27/1800:31:03,57.6,68.5,
346,9/27/18,12:41:03 AM,09/27/1800:41:03,57.4,68.5,
347,9/27/18,12:51:03 AM,09/27/1800:51:03,57.3,68.4,
348,9/27/18,1:01:03 AM,09/27/1801:01:03,57.3,68.4,
349,9/27/18,1:11:03 AM,09/27/1801:11:03,57.3,68.4,
350,9/27/18,1:21:03 AM,09/27/1801:21:03,57.1,68.4,
351,9/27/18,1:31:03 AM,09/27/1801:31:03,57.3,68.4,
352,9/27/18,1:41:03 AM,09/27/1801:41:03,57.4,68.4,
353,9/27/18,1:51:03 AM,09/27/1801:51:03,57.4,68.4,
354,9/27/18,2:01:03 AM,09/27/1802:01:03,57.4,68.4,
355,9/27/18,2:11:03 AM,09/27/1802:11:03,57.4,68.4,
356,9/27/18,2:21:03 AM,09/27/1802:21:03,57.4,68.4,
357,9/27/18,2:31:03 AM,09/27/1802:31:03,57.2,68.3,
358,9/27/18,2:41:03 AM,09/27/1802:41:03,56.8,68.3,
359,9/27/18,2:51:03 AM,09/27/1802:51:03,56.8,68.3,
360,9/27/18,3:01:03 AM,09/27/1803:01:03,56.5,68.3,
361,9/27/18,3:11:03 AM,09/27/1803:11:03,56.2,68.3,
362,9/27/18,3:21:03 AM,09/27/1803:21:03,56.1,68.3,
363,9/27/18,3:31:03 AM,09/27/1803:31:03,56.3,68.3,
364,9/27/18,3:41:03 AM,09/27/1803:41:03,56.4,68.2,
365,9/27/18,3:51:03 AM,09/27/1803:51:03,56.1,68.2,
366,9/27/18,4:01:03 AM,09/27/1804:01:03,55.9,68.2,
367,9/27/18,4:11:03 AM,09/27/1804:11:03,55.8,68.2,
368,9/27/18,4:21:03 AM,09/27/1804:21:03,56,68.2,
369,9/27/18,4:31:03 AM,09/27/1804:31:03,55.9,68.2,
370,9/27/18,4:41:03 AM,09/27/1804:41:03,56,68.2,
371,9/27/18,4:51:03 AM,09/27/1804:51:03,56,68.2,
372,9/27/18,5:01:03 AM,09/27/1805:01:03,56,68.2,
373,9/27/18,5:11:03 AM,09/27/1805:11:03,56.1,68.2,
374,9/27/18,5:21:03 AM,09/27/1805:21:03,56.1,68.1,
375,9/27/18,5:31:03 AM,09/27/1805:31:03,55.9,68.1,
376,9/27/18,5:41:03 AM,09/27/1805:41:03,55.9,68.1,
377,9/27/18,5:51:03 AM,09/27/1805:51:03,55.8,68.1,
378,9/27/18,6:01:03 AM,09/27/1806:01:03,55.8,68.1,
379,9/27/18,6:11:03 AM,09/27/1806:11:03,56.1,68.1,
380,9/27/18,6:21:03 AM,09/27/1806:21:03,56.3,68.2,
381,9/27/18,6:31:03 AM,09/27/1806:31:03,56.2,68.3,
382,9/27/18,6:41:03 AM,09/27/1806:41:03,56,68.4,
383,9/27/18,6:51:03 AM,09/27/1806:51:03,55.7,68.5,
